Company,FileNo,Opened,Closed,Coverage,SubCoverage,Reason,SubReason,Disposition,Conclusion,Recovery,Status
American Commerce Insurance Company,5302,12/22/2020,01/12/2021,Tenant Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Progressive Casualty Insurance Company,1924,04/27/2020,05/26/2020,Auto,,Premium and Rating,Premium/Notice,Premium Refund,Voluntary Reconsider,68.86,Closed
"Anthem Health Plans, Inc",803659,08/06/2018,08/20/2018,,,Unfair Claims Practice,Claim Procedure,Contract Provision,Furnished Information,0.00,Closed
CSAA General Insurance Company,902396,05/29/2019,06/14/2019,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Refer To Appraisal,Unjustified,0.00,Closed
Travelers Property Casualty Company of America,803064,07/02/2018,08/20/2018,General Liability,,Underwriting,Non-Renewal,Non-Renewal Rescinded,Questionable,0.00,Closed
Transamerica Life Insurance Company,805745,12/11/2018,01/02/2019,,,Unfair Claims Practice,Claim Delays,Furnished Information,Furnished Information,0.00,Closed
"ConnectiCare Insurance Company, Inc",802506,05/29/2018,08/20/2018,Individual Health,Out-Patient,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
GEICO General Insurance Company,803598,08/03/2018,08/20/2018,,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
State Farm Fire & Casualty Company,902316,05/21/2019,06/07/2019,Homeowners,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,0.00,Closed
Underwriters at Lloyds London,902178,05/13/2019,06/14/2019,Commercial Fire,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Nationwide General Insurance Company,803620,08/06/2018,08/20/2018,General Liability,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",803401,07/24/2018,08/20/2018,Group Health,In-Patient,Unfair Claims Practice,Coordination of Benefit,Furnished Information,Furnished Information,0.00,Closed
Transamerica Life Insurance Company,805745,12/11/2018,01/02/2019,Individual Long Term Care,Long Term Individual,Unfair Claims Practice,Claim Delays,Furnished Information,Furnished Information,0.00,Closed
Aetna Life Insurance Company,102156,05/18/2021,06/02/2021,Group/Association Trust,Student Accident/Sickness,Marketing/Sales,Policy Service,Furnished Information,Furnished Information,0.00,Closed
"National Union Fire Insurance Company of Pittsburgh, PA",101474,04/05/2021,05/07/2021,,,Premium and Rating,Premium/Notice,Corrective Action,Voluntary Reconsider,0.00,Closed
"ConnectiCare Insurance Company, Inc",901673,04/10/2019,06/14/2019,Group Health,No SubCov - AH,Unfair Claims Practice,Denial of Claim,Claim Settled,Justified,4859.00,Closed
State Farm Mutual Automobile Insurance Company,102749,06/25/2021,07/20/2021,Auto,,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
Liberty Mutual Fire Insurance Company,800966,02/26/2018,03/12/2018,Auto Uninsured Motorist,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Westchester Fire Insurance Company,102906,07/07/2021,07/20/2021,Other [Enter Coverage],,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Cigna Health and Life Insurance Company,101876,04/30/2021,06/02/2021,,,Unfair Claims Practice,Surprise Billing,Additional Money Received,Justified,1375.20,Closed
Cigna Health and Life Insurance Company,101466,04/05/2021,05/07/2021,Dental/Group Assoc Trust,Dental,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",103820,09/07/2021,09/16/2021,Group Health,No SubCov - AH,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Furnished Information,0.00,Closed
Allstate Fire and Casualty Insurance Company,803623,08/06/2018,08/20/2018,Auto Physical Damage,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
SAFECO Insurance Company of Illinois,803399,07/24/2018,08/20/2018,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Transamerica Life Insurance Company,102085,05/14/2021,06/02/2021,Individual Life,Whole Life,Underwriting,Refusal to Insure,Contract Provision,Unjustified,0.00,Closed
John Hancock Life Insurance Company (USA),902450,05/31/2019,06/14/2019,Individual Long Term Care,Long Term Individual,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
Clear Blue Insurance Company,901834,04/23/2019,06/14/2019,Auto Liability,,Unfair Claims Practice,Actual Cash Value Dispute,Company Position Upheld,Unjustified,0.00,Closed
Transamerica Life Insurance Company,803396,07/24/2018,08/06/2018,Credit A & H,No SubCov - AH,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
GEICO General Insurance Company,801258,03/15/2018,04/02/2018,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",902445,05/31/2019,06/14/2019,,,Unfair Claims Practice,Provider Contract Issue,Claim Settled,Furnished Information,13627.00,Closed
State Farm Fire & Casualty Company,801265,03/15/2018,04/02/2018,Homeowners,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",102082,05/14/2021,06/02/2021,A & H,Out-Patient,Unfair Claims Practice,Denial of Claim,Insufficient Information,No Action Necessary,0.00,Closed
Continental Casualty Company,103709,08/31/2021,09/30/2021,Individual Long Term Care,No SubCov - AH,Unfair Claims Practice,Claim Procedure,Insufficient Information,No Action Necessary,0.00,Closed
Pruco Life Insurance Company,102130,05/17/2021,06/02/2021,,,Marketing/Sales,Policy Service Delay,Furnished Information,Unjustified,0.00,Closed
Universal North America Insurance Company,102617,06/17/2021,07/20/2021,Condo Unit Owner,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
"Oxford Health Plans (CT), Inc",902435,05/30/2019,06/14/2019,Group Health,Behavl Hlth/Subst Abuse,Unfair Claims Practice,Eligibility of Provider,Contract Provision,Furnished Information,0.00,Closed
GEICO Indemnity Company,802487,05/25/2018,06/13/2018,Auto,,Premium and Rating,Excessive Charges,Corrective Action,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",103199,07/28/2021,08/16/2021,,,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
"Harvard Pilgrim Health Care, Inc.",2938,07/14/2020,08/26/2020,Group Health,Ambulance,Unfair Claims Practice,Coordination of Benefit,Claim Paid With Interest,Justified,2609.60,Closed
United Services Automobile Association,805681,12/06/2018,01/02/2019,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
National Casualty Company,803620,08/06/2018,08/20/2018,General Liability,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
American Commerce Insurance Company,901975,05/01/2019,06/07/2019,Auto,,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
Transamerica Life Insurance Company,805741,12/11/2018,01/02/2019,Individual Annuity,Variable Annuity,Marketing/Sales,Policy Service Delay,Furnished Information,Unjustified,0.00,Closed
Standard Fire Insurance Company (The),102031,05/11/2021,06/02/2021,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Covenant Insurance Company,902188,05/14/2019,06/14/2019,Homeowners,,Unfair Claims Practice,Claim Delays,Additional Money Received,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",103199,07/28/2021,08/16/2021,A & H,Out-Patient,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
Transamerica Premier LIfe Insurance Company,4288,10/14/2020,10/27/2020,Individual Long Term Care,Long Term Individual,Marketing/Sales,Policy Service,Furnished Information,Furnished Information,0.00,Closed
Aetna Life Insurance Company,803393,07/24/2018,08/20/2018,Group Life,Term Life,Marketing/Sales,Policy Service Delay,Furnished Information,Furnished Information,0.00,Closed
American General Life Insurance Company,902021,05/03/2019,06/07/2019,,,Unfair Claims Practice,Claim Delays,Claim Paid With Interest,Unjustified,0.00,Closed
Lumico Life Insurance Company,902084,05/08/2019,05/07/2021,Individual Life,Whole Life,Marketing/Sales,Producer Handling,Satisfactory Explanation,Unjustified,0.00,Closed
Kemper Independence Insurance Company,803071,07/02/2018,08/20/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Justified,1309.00,Closed
Allstate Fire and Casualty Insurance Company,803285,07/18/2018,08/06/2018,Auto,,Premium and Rating,Premium Refund Delay,Corrective Action,Justified,95.59,Closed
Allstate Insurance Company,800456,01/26/2018,04/02/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Cigna Health and Life Insurance Company,101876,04/30/2021,06/02/2021,Group Health,Emergency,Unfair Claims Practice,Surprise Billing,Additional Money Received,Justified,1375.20,Closed
Cigna Health and Life Insurance Company,805261,11/07/2018,01/02/2019,,,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Furnished Information,0.00,Closed
Liberty Insurance Corporation,801224,03/12/2018,04/02/2018,Auto,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
Amica Mutual Insurance Company,801374,03/20/2018,04/02/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",804867,10/16/2018,01/02/2019,Group Health,Behavl Hlth/Subst Abuse,Unfair Claims Practice,Eligibility of Provider,Company Position Upheld,Furnished Information,0.00,Closed
MedAmerica Insurance Company,900018,01/02/2019,01/02/2019,Individual Long Term Care,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Furnished Information,Furnished Information,0.00,Closed
Transamerica Life Insurance Company,102085,05/14/2021,06/02/2021,,,Underwriting,Refusal to Insure,Contract Provision,Unjustified,0.00,Closed
Standard Fire Insurance Company (The),803122,07/06/2018,08/06/2018,Auto,,Marketing/Sales,Producer Handling,Corrective Action,Questionable,0.00,Closed
GEICO General Insurance Company,803598,08/03/2018,08/20/2018,Auto Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
State Farm Fire & Casualty Company,801265,03/15/2018,04/02/2018,Homeowners,,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
Liberty Insurance Corporation,803184,07/11/2018,08/06/2018,,,Premium and Rating,Premium Refund Delay,Corrective Action,Justified,924.00,Closed
"Anthem Health Plans, Inc",802871,06/21/2018,08/06/2018,Group Health,Emergency,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",803410,07/24/2018,08/20/2018,,,Unfair Claims Practice,Claim Procedure,Contract Provision,Furnished Information,0.00,Closed
"National Union Fire Insurance Company of Pittsburgh, PA",801257,03/15/2018,04/02/2018,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Genworth Life Insurance Company,801539,03/28/2018,04/02/2018,Individual Long Term Care,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
